Date,"SVI Index of ""Mi Yuting"""
2020-01-06,0
2020-01-13,0
2020-01-20,0
2020-01-27,0
2020-02-03,0
2020-02-10,100
2020-02-17,0
2020-02-24,0
2020-03-02,0
2020-03-09,0
2020-03-16,0
2020-03-23,0
2020-03-30,0
2020-04-06,0
2020-04-13,0
2020-04-20,0
2020-04-27,0
2020-05-04,0
2020-05-11,0
2020-05-18,0
2020-05-25,0
2020-06-01,0
2020-06-08,0
2020-06-15,0
2020-06-22,0
2020-06-29,0
2020-07-06,0
2020-07-13,0
2020-07-20,0
2020-07-27,0
2020-08-03,0
2020-08-10,0
2020-08-17,0
2020-08-24,0
2020-08-31,0
2020-09-07,0
2020-09-14,0
2020-09-21,0
2020-09-28,0
2020-10-05,0
2020-10-12,0
2020-10-19,0
2020-10-26,0
2020-11-02,0
2020-11-09,0
2020-11-16,0
2020-11-23,0
2020-11-30,0
2020-12-07,0
2020-12-14,0
2020-12-21,0
2020-12-28,0
2021-01-04,0
2021-01-11,0
2021-01-18,0
2021-01-25,0
2021-02-01,0
2021-02-08,0
2021-02-15,0
2021-02-22,0
2021-03-01,0
2021-03-08,0
2021-03-15,0
2021-03-22,0
2021-03-29,0
2021-04-05,0
2021-04-12,0
2021-04-19,0
2021-04-26,0
2021-05-03,0
2021-05-10,0
2021-05-17,0
2021-05-24,0
2021-05-31,0
2021-06-07,0
2021-06-14,0
2021-06-21,0
2021-06-28,0
2021-07-05,0
2021-07-12,0
2021-07-19,0
2021-07-26,0
2021-08-02,0
2021-08-09,0
2021-08-16,0
2021-08-23,0
2021-08-30,0
2021-09-06,0
2021-09-13,0
2021-09-20,0
2021-09-27,0
2021-10-04,0
2021-10-11,0
2021-10-18,0
2021-10-25,0
2021-11-01,0
2021-11-08,0
2021-11-15,0
2021-11-22,0
2021-11-29,0
2021-12-06,0
2021-12-13,0
2021-12-20,0
2021-12-27,0
